,cnt,casual,registered,season_encoding,yr,mnth,day,holiday,weekday,workingday,weathersit,temp,hum,windspeed
0,985,331,654,1,0,1,1,0,6,0,2,14.1,80.6,10.749882
1,801,131,670,1,0,1,2,0,0,0,2,14.9,69.6,16.652113
2,1349,120,1229,1,0,1,3,0,1,1,1,8.1,43.7,16.636703
3,1562,108,1454,3,0,1,4,0,2,1,1,8.2,59.0,10.739832
4,1600,82,1518,3,0,1,5,0,3,1,1,9.3,43.7,12.5223
5,1606,88,1518,3,0,1,6,0,4,1,1,8.4,51.8,6.0008684
6,1510,148,1362,4,0,1,7,0,5,1,2,8.1,49.9,11.304642
7,959,68,891,4,0,1,8,0,6,0,2,6.8,53.6,17.875868
8,822,54,768,4,0,1,9,0,0,0,1,5.7,43.4,24.25065
9,1321,41,1280,2,0,1,10,0,1,1,1,6.2,48.3,14.958889
10,1263,43,1220,2,0,1,11,0,2,1,2,6.9,68.6,8.182844
11,1162,25,1137,2,0,1,12,0,3,1,1,7.1,60.0,20.410009
12,1406,38,1368,1,0,1,13,0,4,1,1,6.8,47.0,20.167
13,1421,54,1367,1,0,1,14,0,5,1,1,6.6,53.8,8.478716
14,1248,222,1026,1,0,1,15,0,6,0,2,9.6,49.9,10.583521
15,1204,251,953,1,0,1,16,0,0,0,1,9.5,48.4,12.625011
16,1000,117,883,1,0,1,17,1,1,0,2,7.2,53.8,12.999139
17,683,9,674,1,0,1,18,0,2,1,2,8.9,86.2,9.833925
18,1650,78,1572,1,0,1,19,0,3,1,2,12.0,74.2,13.957239
19,1927,83,1844,1,0,1,20,0,4,1,2,10.7,53.8,13.125568
20,1543,75,1468,1,0,1,21,0,5,1,1,7.3,45.7,23.667214
21,981,93,888,1,0,1,22,0,6,0,1,2.4,40.0,11.52199
22,986,150,836,1,0,1,23,0,0,0,1,4.0,43.7,16.5222
23,1416,86,1330,1,0,1,24,0,1,1,1,4.0,49.2,10.60811
24,1985,186,1799,1,0,1,25,0,2,1,2,9.2,61.7,8.696332
25,506,34,472,1,0,1,26,0,3,1,3,8.9,86.2,19.68795
26,431,15,416,1,0,1,27,0,4,1,1,8.0,68.8,7.627079
27,1167,38,1129,1,0,1,28,0,5,1,2,8.3,79.3,8.2611
28,1098,123,975,1,0,1,29,0,6,0,1,8.1,65.2,9.739455
29,1096,140,956,1,0,1,30,0,0,0,1,8.9,72.2,4.9568342
30,1501,42,1459,1,0,1,31,0,1,1,2,7.4,60.4,12.541864
31,1360,47,1313,1,0,2,1,0,2,1,2,7.9,83.0,3.565271
32,1526,72,1454,1,0,2,2,0,3,1,2,10.7,77.5,17.708636
33,1550,61,1489,1,0,2,3,0,4,1,1,7.7,43.8,18.609384
