,instant,dteday,season,yr,mnth,day,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_encoding,temp_interval,temp_interval_num,hum_interval,hum_interval_num,temp_interval_ord,hum_very_low,hum_low,hum_medium,hum_high,hum_very_high,wind_interval,wind_num_encoding
0,1,2018-01-01,winter,0,1,01,0,6,0,2,14.1,18.2,80.6,10.749882,331,654,985,1,low,"(8.98, 15.56]",very_high,"(77.76, 97.2]",2,0,0,0,0,1,low,3
1,2,2018-02-01,winter,0,1,02,0,0,0,2,14.9,17.7,69.6,16.652113,131,670,801,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,medium,2
2,3,2018-03-01,winter,0,1,03,0,1,1,1,8.1,9.5,43.7,16.636703,120,1229,1349,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,medium,2
3,4,2018-04-01,spring,0,1,04,0,2,1,1,8.2,10.6,59.0,10.739832,108,1454,1562,3,very_low,"(2.367, 8.98]",high,"(58.32, 77.76]",1,0,0,0,1,0,low,3
4,5,2018-05-01,spring,0,1,05,0,3,1,1,9.3,11.5,43.7,12.5223,82,1518,1600,3,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
5,6,2018-06-01,spring,0,1,06,0,4,1,1,8.4,11.7,51.8,6.0008684,88,1518,1606,3,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,very_low,4
6,7,2018-07-01,summer,0,1,07,0,5,1,2,8.1,10.4,49.9,11.304642,148,1362,1510,4,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,low,3
7,8,2018-08-01,summer,0,1,08,0,6,0,2,6.8,8.1,53.6,17.875868,68,891,959,4,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,medium,2
8,9,2018-09-01,summer,0,1,09,0,0,0,1,5.7,5.8,43.4,24.25065,54,768,822,4,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,high,1
9,10,2018-10-01,autumn,0,1,10,0,1,1,1,6.2,7.5,48.3,14.958889,41,1280,1321,2,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,medium,2
10,11,2018-11-01,autumn,0,1,11,0,2,1,2,6.9,9.6,68.6,8.182844,43,1220,1263,2,very_low,"(2.367, 8.98]",high,"(58.32, 77.76]",1,0,0,0,1,0,low,3
11,12,2018-12-01,autumn,0,1,12,0,3,1,1,7.1,8.0,60.0,20.410009,25,1137,1162,2,very_low,"(2.367, 8.98]",high,"(58.32, 77.76]",1,0,0,0,1,0,medium,2
12,13,2018-01-13,winter,0,1,13,0,4,1,1,6.8,7.5,47.0,20.167,38,1368,1406,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,medium,2
13,14,2018-01-14,winter,0,1,14,0,5,1,1,6.6,9.4,53.8,8.478716,54,1367,1421,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,low,3
14,15,2018-01-15,winter,0,1,15,0,6,0,2,9.6,12.4,49.9,10.583521,222,1026,1248,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
15,16,2018-01-16,winter,0,1,16,0,0,0,1,9.5,11.7,48.4,12.625011,251,953,1204,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
16,17,2018-01-17,winter,0,1,17,1,1,0,2,7.2,8.8,53.8,12.999139,117,883,1000,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,low,3
17,18,2018-01-18,winter,0,1,18,0,2,1,2,8.9,11.6,86.2,9.833925,9,674,683,1,very_low,"(2.367, 8.98]",very_high,"(77.76, 97.2]",1,0,0,0,0,1,low,3
18,19,2018-01-19,winter,0,1,19,0,3,1,2,12.0,14.9,74.2,13.957239,78,1572,1650,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,low,3
19,20,2018-01-20,winter,0,1,20,0,4,1,2,10.7,12.8,53.8,13.125568,83,1844,1927,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
20,21,2018-01-21,winter,0,1,21,0,5,1,1,7.3,7.9,45.7,23.667214,75,1468,1543,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,high,1
21,22,2018-01-22,winter,0,1,22,0,6,0,1,2.4,4.0,40.0,11.52199,93,888,981,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,low,3
22,23,2018-01-23,winter,0,1,23,0,0,0,1,4.0,4.9,43.7,16.5222,150,836,986,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,medium,2
23,24,2018-01-24,winter,0,1,24,0,1,1,1,4.0,5.9,49.2,10.60811,86,1330,1416,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,low,3
24,25,2018-01-25,winter,0,1,25,0,2,1,2,9.2,11.7,61.7,8.696332,186,1799,1985,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,low,3
25,26,2018-01-26,winter,0,1,26,0,3,1,3,8.9,10.2,86.2,19.68795,34,472,506,1,very_low,"(2.367, 8.98]",very_high,"(77.76, 97.2]",1,0,0,0,0,1,medium,2
26,27,2018-01-27,winter,0,1,27,0,4,1,1,8.0,11.0,68.8,7.627079,15,416,431,1,very_low,"(2.367, 8.98]",high,"(58.32, 77.76]",1,0,0,0,1,0,very_low,4
